block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_tree_scan_llr,tree_scan_depth,tree_scan_node,tree_scan_observed,tree_scan_expected,tree_scan_support_ok,p_adic_conditional_tree_scan_llr,conditional_tree_scan_depth,conditional_tree_scan_node,conditional_tree_scan_parent_node,conditional_tree_scan_observed,conditional_tree_scan_parent_observed,conditional_tree_scan_expected,conditional_tree_scan_support_ok,flat_tuple_scan_llr,marginal_column_scan_llr,reversed_hierarchy_tree_scan_llr,random_hierarchy_tree_scan_llr_seed_11,random_hierarchy_tree_scan_llr_seed_17,random_hierarchy_tree_scan_llr_seed_23,random_hierarchy_tree_scan_llr_seed_31,random_hierarchy_tree_scan_llr_seed_47,category_entropy_temporal,transaction_count_signal
0,1519814046.0,1519814189.0,1916,0,0.0,105.81268854217919,3,157992330,722,438.32234485033194,True,64.47955133626613,2,12569,0,880,1216,688.3901962937208,True,69.85201966226495,105.80247030597664,69.85201966226495,69.85201966226495,80.95982779479945,80.70589904352317,80.95958834059243,80.95982779479945,7.498024917332582,1916.0
1,1519814189.0,1519814336.0,1916,0,0.0,53.96070427782706,3,157992330,638,438.32234485033194,True,69.22052925314688,2,12569,0,788,1065,602.9075321157999,True,27.32087320750712,81.66979084969776,28.758100380143333,49.585785563081146,81.66979084969776,38.00371728559756,38.172216110830234,38.17237520464761,6.904712358415356,1916.0
2,1519814336.0,1519814424.0,1916,0,0.0,58.20021656677716,3,157992330,646,438.32234485033194,True,62.625476549353635,2,12569,0,778,1063,601.7753113982114,True,36.25046491671422,76.44981694246701,53.87810452652039,49.585785563081146,76.44981694246701,53.87810452652039,41.82976582417062,53.87810452652039,6.800979720158864,1916.0
3,1519814424.0,1519814490.0,1916,0,0.0,80.19252228521546,6,313692135807637565941,954,682.7483109482121,True,60.04889312848455,3,157992330,12569,582,680,457.11412142226436,True,80.19252228521546,106.43322482456838,80.19252228521546,125.46537661508282,106.43322482456838,80.19252228521546,80.19252228521546,80.19252228521546,6.2641828201239695,1916.0
4,1519814490.0,1519814624.0,1916,0,0.0,95.37992653072385,3,157992330,707,438.32234485033194,True,39.680952140679935,3,157992330,12569,707,876,588.8705446557406,True,51.113572722616496,95.37024861495195,73.48410788261845,51.113572722616496,82.61305310700206,82.35628199465171,82.61281097411546,82.61305310700206,7.788692716482237,1916.0
5,1519814625.0,1519814752.0,1916,0,0.0,46.904022548767614,3,157992330,624,438.32234485033194,True,40.9310668534485,2,12569,0,837,1208,683.8613134233674,True,41.48389215407707,46.89733440604516,41.48389215407707,41.48389215407707,73.69426065157117,73.453122525129,73.6940332514227,73.69426065157117,7.683408872863279,1916.0
6,1519814752.0,1519814835.0,1915,0,0.0,34.02356018050733,6,313692135807637565941,858,682.3919704936462,True,35.75358625893553,2,12569,0,707,1017,575.7342348936793,True,34.02356018050733,56.18811572054011,34.02356018050733,74.0778409264804,56.18811572054011,34.02356018050733,34.02356018050733,34.02356018050733,7.013658249078057,1915.0
7,1519814835.0,1519814885.0,1916,0,0.0,52.23124900397005,6,313692135807637565941,901,682.7483109482121,True,51.68616193295627,4,157992330,157992330,510,528,434.8741103036581,True,52.23124900397005,88.68477585027844,52.23124900397005,129.14802382361503,88.68477585027844,52.23124900397005,52.23124900397005,52.23124900397005,6.46233910020906,1916.0
8,1519814885.0,1519814984.0,1916,0,0.0,90.40477196902154,1,0,1447,1169.0029227868204,True,62.53699255609823,5,24957605043609451,157992330,230,453,118.16535821021309,True,75.62371839244176,90.40477196902154,123.59527118798997,75.62371839244176,75.62371839244176,75.62371839244176,87.82203204136732,114.33921723129185,8.83893907917537,1916.0
9,1519814984.0,1519815004.0,1916,36,0.018789144050104383,1250.499831247333,2,0,1199,255.74508363892596,True,832.6706206007374,2,0,0,1199,1790,391.60139808952164,True,4.182570277541219,1240.4094725198274,876.2357270577284,1287.7830193450714,1283.21165009698,871.3787882336344,115.49965719047648,871.3822599953053,12.277382091482098,1916.0
10,1519815004.0,1519815011.0,1916,1181,0.6163883089770354,1264.8482691026204,2,0,1205,255.74508363892596,True,868.5557111461186,2,0,0,1205,1763,385.6945613585624,True,36.323512076740734,1269.0583266513113,925.1913368898311,1313.695182983745,1305.0896122664276,923.5759750750522,185.08159867244916,923.5795406495706,12.14537682104379,1916.0
